Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
2 member(s) 2 organism(s),RNA similarity group I,hypothetical protein KH389_12870 [Pseudomonas qingdaonensis],135,135,73%,7.00E-37,21.01,141,QVL21623.1,No,,,,Pseudomonadota,Pseudomonadales
61 member(s) 28 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Salmonella enterica]",136,136,86%,8.00E-37,16.76,182,WP_235655193.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],136,136,96%,8.00E-37,22.78,182,HYK86962.1,No,,,,Chloroflexota,Ktedonobacterales
83 member(s) 30 organism(s),g-proteobacteria,anti-phage protein KwaA [Klebsiella michiganensis],136,136,84%,9.00E-37,21.38,197,WP_289498381.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
3 member(s) 3 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus antarcticus],136,136,84%,1.00E-36,19.88,189,WP_068648672.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Carboxylicivirga marina],135,135,91%,1.00E-36,19.67,186,WP_289054316.1,No,,,,Bacteroidota,Marinilabiliales
2 member(s) 2 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus sp. FSL L8-0493],135,135,84%,2.00E-36,19.25,185,WP_341286776.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],135,135,96%,2.00E-36,19.44,174,HZS78714.1,No,,,,Chloroflexota,Ktedonobacterales
18 member(s) 9 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Enterobacter roggenkampii]",135,135,84%,2.00E-36,22.01,171,WP_242527858.1,No,,,ncKwa on two different loci,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),,anti-phage protein KwaA [Wenyingzhuangia sp. IMCC45574],135,135,84%,2.00E-36,24.69,206,WP_458228675.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),bacteria,MAG: hypothetical protein ACD_71C00090G0001 [uncultured bacterium (gcode 4)],133,133,70%,3.00E-36,22.79,150,EKD44584.1,N/A,,,Seems to only be ncKwaA,unclassified Bacteria,unclassified Bacteria
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Symbiobacteriaceae bacterium],134,134,94%,3.00E-36,19.77,179,HLO02593.1,No,,,,Bacillota,Eubacteriales
6 member(s) 4 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Enterobacter kobei]",133,133,74%,3.00E-36,21.99,141,WP_231082247.1,No,,,,Pseudomonadota,Enterobacterales
18 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],134,134,83%,5.00E-36,22.5,195,WP_025630760.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Morganellaceae],134,134,86%,6.00E-36,20.12,194,WP_369479288.1,No,,,,Pseudomonadota,Enterobacterales
33 member(s) 3 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Salmonella enterica]",133,133,77%,6.00E-36,18.37,163,WP_237362915.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Chitinophagaceae bacterium],133,133,94%,7.00E-36,25.81,190,HAD35226.1,No,,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Saprospiraceae bacterium],134,134,93%,8.00E-36,22.4,198,MEI2696155.1,No,,,,Bacteroidota,Saprospirales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroidales bacterium],132,132,68%,8.00E-36,23.31,135,HBG70474.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Muribaculaceae bacterium],134,134,99%,9.00E-36,18.5,205,MDE5628488.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Klebsiella sp. HSTU-Sny5],133,133,83%,1.00E-35,19.62,197,WP_243806835.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Psychrobacter sp. W2-37-MNA-CIBAN-0211],132,132,94%,2.00E-35,17.02,192,WP_352310168.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas aquatica],133,133,79%,2.00E-35,22,197,WP_081966269.1,No,,,,Pseudomonadota,Aeromonadales
3 member(s) 3 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],132,132,87%,3.00E-35,20.79,178,HBW2360382.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
6 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Salmonella enterica]",131,131,75%,3.00E-35,19.01,145,WP_235655241.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Serratia marcescens],131,131,81%,3.00E-35,20.13,155,HHK8115384.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio owensii],129,129,57%,4.00E-35,25.23,113,WP_054823304.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Psychrobacter immobilis],131,131,93%,7.00E-35,16.13,187,WP_201543699.1,No,,,,Pseudomonadota,Moraxellales
3 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio cholerae],130,130,77%,7.00E-35,22.97,148,WP_312845310.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
4 member(s) 4 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Klebsiella planticola]",128,128,57%,7.00E-35,25.89,115,WP_338150376.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Pontibacter qinzhouensis],131,131,82%,8.00E-35,21.94,183,WP_304608232.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),euryarchaeotes,hypothetical protein [Methanosarcinaceae archaeon],130,130,77%,9.00E-35,21.05,154,NOR46775.1,No,,,,Methanobacteriota,Methanosarcinales
1 member(s) 1 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Thiolapillus sp.]",128,128,50%,1.00E-34,27.55,99,WP_419613689.1,No,,,,Pseudomonadota,Chromatiales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas hydrophila],131,131,86%,1.00E-34,22.7,197,WP_323901236.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),euryarchaeotes,hypothetical protein [Methanosarcinales archaeon],131,131,94%,1.00E-34,20.94,199,NKQ39647.1,No,,,,Methanobacteriota,Methanosarcinales
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [unclassified Psychrobacter],130,130,92%,1.00E-34,20,186,WP_198013354.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [unclassified Salmonella],130,130,77%,2.00E-34,18.37,207,WP_438797521.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas dhakensis],129,129,78%,4.00E-34,20.95,197,WP_260750734.1,No,,,,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),firmicutes,hypothetical protein GCM10008018_45550 [Paenibacillus marchantiophytorum],127,127,60%,4.00E-34,29.91,120,GFZ93975.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Paludibacteraceae bacterium],129,129,94%,5.00E-34,17.89,192,MBO5672716.1,No,,,,Bacteroidota,Bacteroidales
2 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Escherichia coli]",128,128,85%,6.00E-34,21.34,172,WP_431525915.1,No,,,,Pseudomonadota,Enterobacterales
6 member(s) 4 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Enterobacter hormaechei]",126,126,56%,7.00E-34,25.45,113,WP_320680765.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,MAG: hypothetical protein NVSMB33_17180 [Ktedonobacteraceae bacterium],128,128,95%,7.00E-34,19.23,183,GAC1387545.1,N/A,,,Seems to only have ncKwaA,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),bacteria,hypothetical protein [Armatimonadota bacterium],128,128,96%,9.00E-34,22.35,172,MDQ3813810.1,N/A,,,Seems to only have ncKwaA,Armatimonadota,unclassified Armatimonadota
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],128,128,95%,1.00E-33,23.46,172,MBE3560681.1,No,,,,Chloroflexota,Ktedonobacterales
7 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Klebsiella michiganensis]",126,126,63%,1.00E-33,25.2,127,WP_341353863.1,No,,,,Pseudomonadota,Enterobacterales
4 member(s) 1 organism(s),E. coli,anti-phage protein KwaA [Escherichia coli],127,127,80%,1.00E-33,21.85,163,MED0383192.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),euryarchaeotes,hypothetical protein MM_2200 [Methanosarcina mazei Go1],126,126,69%,2.00E-33,22.46,144,AAM31896.1,No,,,,Methanobacteriota,Methanosarcinales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio parahaemolyticus],126,126,74%,2.00E-33,23.78,147,EGR3128611.1,No,,,,Pseudomonadota,Vibrionales
2 member(s) 2 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],127,127,95%,2.00E-33,24.16,174,HZO72946.1,No,,,,Chloroflexota,Ktedonobacterales
4 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],127,127,96%,2.00E-33,19.34,175,HLJ33974.1,No,,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacterales bacterium],127,127,93%,2.00E-33,21.59,190,MBA3827243.1,N/A,,,Seems to only have ncKwaA,Chloroflexota,Ktedonobacterales
4 member(s) 3 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Klebsiella africana]",127,127,80%,2.00E-33,21.38,159,WP_369763861.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),planctomycetes,hypothetical protein [Planctomycetales bacterium],127,127,94%,3.00E-33,20.45,171,MGZ0174363.1,N/A,,,Seems to only have ncKwaA,Plantomycetota,Plantomycetales
1 member(s) 1 organism(s),firmicutes,"anti-phage protein KwaA, partial [Hominenteromicrobium sp.]",125,125,71%,4.00E-33,28.68,138,WP_417111473.1,No,,,,Bacillota,Eubacteriales
5 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],125,125,62%,4.00E-33,24.59,123,WP_349771713.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio jasicida],124,124,56%,4.00E-33,28.18,112,WP_105067425.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
3 member(s) 3 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium limi],126,126,84%,4.00E-33,20.96,175,WP_280115141.1,No,,,,Bacteroidota,Flavobacteriales
26 member(s) 5 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Escherichia coli]",125,125,80%,6.00E-33,22.22,170,WP_252500825.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Yersinia intermedia]",125,125,78%,7.00E-33,24.16,155,WP_415843994.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Pantoea],126,126,84%,7.00E-33,19.5,197,WP_050679665.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium psychrophilum],124,124,76%,8.00E-33,22.38,144,CAM2980196.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),enterobacteria,hypothetical protein YEW_FM23390 [Yersinia enterocolitica W22703],125,125,78%,1.00E-32,24.16,177,CBX69805.1,No,,,ncKwaB broken into two,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacterales bacterium],124,124,96%,2.00E-32,17.32,173,MGO8949265.1,No,,,,Chloroflexota,Ktedonobacterales
2 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Chloroflexota bacterium],124,124,94%,2.00E-32,21.47,172,MDQ2906355.1,No,,,,Chloroflexota,unclassified Chloroflexota
1 member(s) 1 organism(s),e-proteobacteria,hypothetical protein [Campylobacterales bacterium],124,124,94%,3.00E-32,23.81,191,MCX6075699.1,No,,,,Campylobacterota,Campylobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas syringae group genomosp. 3],125,125,95%,3.00E-32,18.5,201,WP_057443119.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroidota bacterium],124,124,94%,4.00E-32,24.73,188,MBN8703795.1,No,,,,Bacteroidota,unclassified Bacteroidota
6 member(s) 6 organism(s),enterobacteria,anti-phage protein KwaA [Cedecea davisae],124,124,80%,4.00E-32,21.05,197,WP_395489140.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),bacteria,hypothetical protein [bacterium],124,124,67%,4.00E-32,20.9,182,MCM1189682.1,N/A,,,Seems to only have ncKwaA,unclassified Bacteria,unclassified Bacteria
9 member(s) 4 organism(s),enterobacteria,anti-phage protein KwaA [Klebsiella variicola],122,122,62%,6.00E-32,24.59,123,WP_320205375.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],124,124,98%,6.00E-32,16.22,202,HVB74180.1,No,,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],123,123,95%,7.00E-32,19.44,172,MEO9058327.1,No,,,,Chloroflexota,Ktedonobacterales
2 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Klebsiella variicola]",121,121,56%,8.00E-32,27.78,108,WP_277949131.1,No,,,,Pseudomonadota,Enterobacterales
7 member(s) 6 organism(s),CFB group bacteria,anti-phage protein KwaA [Algoriphagus lutimaris],123,123,94%,1.00E-31,19.02,187,WP_205644661.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Methylobacter tundripaludum],122,122,94%,1.00E-31,22.6,170,WP_104427577.1,No,,,,Pseudomonadota,Methylococcales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],122,122,94%,2.00E-31,19.77,169,MCH9694144.1,No,,,,Pseudomonadota,unclassified Gammaproteobacteria
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],120,120,54%,2.00E-31,30.48,105,MFW1378474.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],122,122,94%,2.00E-31,21.47,174,HEX6481267.1,No,,,,Chloroflexota,Ktedonobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Bacteroidia bacterium],122,122,94%,2.00E-31,19.57,184,HWY38045.1,No,,,,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),GNS bacteria,hypothetical protein [Ktedonobacteraceae bacterium],122,122,94%,3.00E-31,18.64,172,HZS75318.1,No,,,,Chloroflexota,Ktedonobacterales
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,
